song,path_to_wav,artist,artist_genre,genre
"suite bergamasque, l. 75: iii. clair de lune","./audio_data/classical_mp3/suite bergamasque, l. 75 iii. clair de lune.mp3",Claude Debussy,classicalimpressionismpost-romantic era,classical
"the carnival of the animals, r. 125: xiii. the swan (arr. for cello and piano)","./audio_data/classical_mp3/the carnival of the animals, r. 125 xiii. the swan (arr. for cello and piano).mp3",Camille Saint-Saëns,classicalfrench romanticismlate romantic era,classical
fracture,./audio_data/classical_mp3/fracture.mp3,Stephan Moccio,background pianoneo-classical,classical
"kinderszenen, op. 15: träumerei (arr. lewin for guitar)","./audio_data/classical_mp3/kinderszenen, op. 15 träumerei (arr. lewin for guitar).mp3",Robert Schumann,classicalearly romantic eragerman romanticism,classical
3 spirituals for orchestra: no. 2. kum bab yah,./audio_data/classical_mp3/3 spirituals for orchestra no. 2. kum bab yah.mp3,Adolphus Hailstork,african-american classicalamerican contemporary classical,classical
the arts and the hours,./audio_data/classical_mp3/the arts and the hours.mp3,Jean-Philippe Rameau,baroqueclassicalearly musicfrench baroquefrench opera,classical
notturno for strings and harp,./audio_data/classical_mp3/notturno for strings and harp.mp3,Arnold Schoenberg,austro-german modernismavant-gardeclassicalearly modern classicalpost-romantic eraserialism,classical
natural light,./audio_data/classical_mp3/natural light.mp3,Ludovico Einaudi,bow popcompositional ambientneo-classical,classical
"après un rêve, op.7, no.1 (arr. cello & piano)","./audio_data/classical_mp3/après un rêve, op.7, no.1 (arr. cello & piano).mp3",Gabriel Fauré,classicalpost-romantic era,classical
bruyères - home session,./audio_data/classical_mp3/bruyères - home session.mp3,Claude Debussy,classicalimpressionismpost-romantic era,classical
henry v: henry v: touch her soft lips and part,./audio_data/classical_mp3/henry v henry v touch her soft lips and part.mp3,William Walton,british modern classicalclassicalearly modern classical,classical
losar,./audio_data/classical_mp3/losar.mp3,Joep Beving,compositional ambientneo-classical,classical
"by the still waters, op. 114","./audio_data/classical_mp3/by the still waters, op. 114.mp3",Amy Beach,american romanticismpost-romantic era,classical
"rêverie, l. 68: rêverie","./audio_data/classical_mp3/rêverie, l. 68 rêverie.mp3",Claude Debussy,classicalimpressionismpost-romantic era,classical
"dolly, op. 56: 1. berceuse","./audio_data/classical_mp3/dolly, op. 56 1. berceuse.mp3",Gabriel Fauré,classicalpost-romantic era,classical
"2 aquarelles: lento, ma non troppo","./audio_data/classical_mp3/2 aquarelles lento, ma non troppo.mp3",Frederick Delius,classicalearly modern classicalimpressionismpost-romantic era,classical
frühlingsglaube (arr. franz liszt),./audio_data/classical_mp3/frühlingsglaube (arr. franz liszt).mp3,Franz Schubert,classicalclassical eraearly romantic era,classical
ii. floating leaf,./audio_data/classical_mp3/ii. floating leaf.mp3,Konstantia Gourzi,greek contemporary classical,classical
"carnaval, op. 9: no. 5. eusebius (adagio - più lento molto teneramente)","./audio_data/classical_mp3/carnaval, op. 9 no. 5. eusebius (adagio - più lento molto teneramente).mp3",Robert Schumann,classicalearly romantic eragerman romanticism,classical
"scriabin: 24 preludes, op. 11: no. 21 in b flat major","./audio_data/classical_mp3/scriabin 24 preludes, op. 11 no. 21 in b flat major.mp3",Alexander Scriabin,early modern classicalimpressionismlate romantic erarussian romanticism,classical
"sechs klavierstücke, op. 118: ii. intermezzo in a major","./audio_data/classical_mp3/sechs klavierstücke, op. 118 ii. intermezzo in a major.mp3",Johannes Brahms,classicalgerman romanticismlate romantic era,classical
avril 14th (aphex twin) - vanessa wagner version,./audio_data/classical_mp3/avril 14th (aphex twin) - vanessa wagner version.mp3,Murcof,ambientcompositional ambientdark jazzdroneglitchintelligent dance musicmexican experimentalmicrohouseneo-classicaltijuana electronic,classical
"cello sonata in g minor, op. 65: iii. largo","./audio_data/classical_mp3/cello sonata in g minor, op. 65 iii. largo.mp3",Frédéric Chopin,classicalearly romantic erapolish classical,classical
"goldberg variations, bwv 988: aria","./audio_data/classical_mp3/goldberg variations, bwv 988 aria.mp3",Johann Sebastian Bach,baroqueclassicalearly musicgerman baroque,classical
"4 sketches, op. 15: no. 3. dreaming (arr. for cello and piano)","./audio_data/classical_mp3/4 sketches, op. 15 no. 3. dreaming (arr. for cello and piano).mp3",Amy Beach,american romanticismpost-romantic era,classical
"3 visions: no. 2, summerland","./audio_data/classical_mp3/3 visions no. 2, summerland.mp3",William Grant Still,african-american classicalamerican modern classicalearly modern classicalharlem renaissance,classical
"schumann: 12 gedichte aus liebesfrühling, op. 37: no. 11: warum willst du andre fragen","./audio_data/classical_mp3/schumann 12 gedichte aus liebesfrühling, op. 37 no. 11 warum willst du andre fragen.mp3",Clara Schumann,early romantic eragerman romanticism,classical
an idea,./audio_data/classical_mp3/an idea.mp3,Leo Brouwer,classical guitarguitarra clasicalatin classical,classical
my fellow creatures,./audio_data/classical_mp3/my fellow creatures.mp3,Carlos Cipa,compositional ambientneo-classical,classical
"poulenc: cello sonata, fp 143: ii. cavatine","./audio_data/classical_mp3/poulenc cello sonata, fp 143 ii. cavatine.mp3",Francis Poulenc,classicalneoclassicism,classical
still,./audio_data/classical_mp3/still.mp3,Ola Gjeilo,21st century classicalchoralnordic contemporary classical,classical
"montero: adagio (after bach's violin concerto no. 2, bwv 1042)","./audio_data/classical_mp3/montero adagio (after bach's violin concerto no. 2, bwv 1042).mp3",Johann Sebastian Bach,baroqueclassicalearly musicgerman baroque,classical
wasserklavier,./audio_data/classical_mp3/wasserklavier.mp3,David Arden,contemporary classical piano,classical
memories of a promenade ii,./audio_data/classical_mp3/memories of a promenade ii.mp3,Olga Scheps,classical pianogerman classical piano,classical
"12 songs, op. 21: v. lilacs (transcr. rachmaninoff for solo piano)","./audio_data/classical_mp3/12 songs, op. 21 v. lilacs (transcr. rachmaninoff for solo piano).mp3",Sergei Rachmaninoff,classicalpost-romantic erarussian romanticismukrainian classical,classical
"de visée / transcr. garcia: pièces de théorbe et de luth, suite en la mineur: iv. sarabande","./audio_data/classical_mp3/de visée  transcr. garcia pièces de théorbe et de luth, suite en la mineur iv. sarabande.mp3",Robert de Visée,baroquefrench baroque,classical
walk with us - for black lives matter,./audio_data/classical_mp3/walk with us - for black lives matter.mp3,Alexis Ffrench,compositional ambientneo-classical,classical
"prelude in b minor, bwv 855a (arr. by alexander siloti)","./audio_data/classical_mp3/prelude in b minor, bwv 855a (arr. by alexander siloti).mp3",Johann Sebastian Bach,baroqueclassicalearly musicgerman baroque,classical
sarabande,./audio_data/classical_mp3/sarabande.mp3,Robert de Visée,baroquefrench baroque,classical
"suite d'orchestre dans le style ancien, op. 2: ii. sarabande. mesto","./audio_data/classical_mp3/suite d'orchestre dans le style ancien, op. 2 ii. sarabande. mesto.mp3",Albéric Magnard,early modern classicalfrench romanticismpost-romantic era,classical
dappled light,./audio_data/classical_mp3/dappled light.mp3,Luke Howard,australian ambientcompositional ambientneo-classical,classical
"herz und mund und tat und leben, cantata bwv 147: jesu, joy of man’s desiring (transcr. hess for piano)","./audio_data/classical_mp3/herz und mund und tat und leben, cantata bwv 147 jesu, joy of man’s desiring (transcr. hess for piano).mp3",Johann Sebastian Bach,baroqueclassicalearly musicgerman baroque,classical
"goldberg variations, bwv 988: variation 1 (arr. for harp)","./audio_data/classical_mp3/goldberg variations, bwv 988 variation 1 (arr. for harp).mp3",Johann Sebastian Bach,baroqueclassicalearly musicgerman baroque,classical
much loved,./audio_data/classical_mp3/much loved.mp3,Rachel Portman,british soundtrackclassic soundtrackcompositional ambientorchestral soundtrackscorecoresoundtrack,classical
el cant dels ocells (song of the birds) (version for cello and orchestra),./audio_data/classical_mp3/el cant dels ocells (song of the birds) (version for cello and orchestra).mp3,Pablo Casals,classical cello,classical
sunset bird,./audio_data/classical_mp3/sunset bird.mp3,Yiruma,korean instrumentalneo-classicalnew age piano,classical
3 pieces in old style: no. 1. aria,./audio_data/classical_mp3/3 pieces in old style no. 1. aria.mp3,Krzysztof Penderecki,avant-gardeclassicalcontemporary classicalpolish contemporary classical,classical
"lo, the full, final sacrifice, op. 26: amen - instrumental","./audio_data/classical_mp3/lo, the full, final sacrifice, op. 26 amen - instrumental.mp3",Gerald Finzi,british modern classicalearly modern classical,classical
"6 impromptus, op. 5: impromptu vi","./audio_data/classical_mp3/6 impromptus, op. 5 impromptu vi.mp3",Jean Sibelius,classicalfinnish classicalimpressionismpost-romantic era,classical
ascent - day 1,./audio_data/classical_mp3/ascent - day 1.mp3,Ludovico Einaudi,bow popcompositional ambientneo-classical,classical
"ravel: pavane pour une infante défunte, m. 19","./audio_data/classical_mp3/ravel pavane pour une infante défunte, m. 19.mp3",Maurice Ravel,classicalearly modern classicalimpressionismneoclassicismpost-romantic era,classical
pastorale,./audio_data/classical_mp3/pastorale.mp3,Germaine Tailleferre,early modern classicalimpressionism,classical
flow state vestida 4,./audio_data/classical_mp3/flow state vestida 4.mp3,Danny Mulhern,compositional ambientneo-classical,classical
nocturne,./audio_data/classical_mp3/nocturne.mp3,Alexander Borodin,classicallate romantic erarussian romanticism,classical
"the well-tempered clavier: book 1, bwv 846-869: i. prelude in c major, bwv 846","./audio_data/classical_mp3/the well-tempered clavier book 1, bwv 846-869 i. prelude in c major, bwv 846.mp3",Johann Sebastian Bach,baroqueclassicalearly musicgerman baroque,classical
"bagatelle no. 25 in a minor, woo 59 ""für elise""","./audio_data/classical_mp3/bagatelle no. 25 in a minor, woo 59 für elise.mp3",Ludwig van Beethoven,classicalclassical eraearly romantic eragerman romanticism,classical
"suite no. 3 in d major, bwv 1068: ii. air","./audio_data/classical_mp3/suite no. 3 in d major, bwv 1068 ii. air.mp3",Johann Sebastian Bach,baroqueclassicalearly musicgerman baroque,classical
"handel / orch. hale: keyboard suite no. 4 in d minor, hwv 437: iii. sarabande","./audio_data/classical_mp3/handel  orch. hale keyboard suite no. 4 in d minor, hwv 437 iii. sarabande.mp3",George Frideric Handel,baroqueclassicalearly musicenglish baroquegerman baroque,classical
gnossienne no. 1,./audio_data/classical_mp3/gnossienne no. 1.mp3,Erik Satie,classicalearly avant gardeearly modern classicalimpressionismpost-romantic era,classical
"the carnival of the animals, r. 125: xiii. the swan (arr. for cello and piano)","./audio_data/classical_mp3/the carnival of the animals, r. 125 xiii. the swan (arr. for cello and piano).mp3",Camille Saint-Saëns,classicalfrench romanticismlate romantic era,classical
"suite bergamasque, l. 75: iii. clair de lune","./audio_data/classical_mp3/suite bergamasque, l. 75 iii. clair de lune.mp3",Claude Debussy,classicalimpressionismpost-romantic era,classical
mahler: symphony no. 5 in c-sharp minor: iv. adagietto. sehr langsam,./audio_data/classical_mp3/mahler symphony no. 5 in c-sharp minor iv. adagietto. sehr langsam.mp3,Gustav Mahler,classicalpost-romantic era,classical
"piano concerto no. 2 in c minor, op. 18: 2. adagio sostenuto","./audio_data/classical_mp3/piano concerto no. 2 in c minor, op. 18 2. adagio sostenuto.mp3",Sergei Rachmaninoff,classicalpost-romantic erarussian romanticismukrainian classical,classical
rodrigo: concierto de aranjuez: ii. adagio,./audio_data/classical_mp3/rodrigo concierto de aranjuez ii. adagio.mp3,Joaquín Rodrigo,classicalclassical guitar,classical
"sonata no. 14 ""moonlight"" in c-sharp minor"", op. 27 no. 2: i. adagio sostenuto","./audio_data/classical_mp3/sonata no. 14 moonlight in c-sharp minor, op. 27 no. 2 i. adagio sostenuto.mp3",Ludwig van Beethoven,classicalclassical eraearly romantic eragerman romanticism,classical
scheherazade: the tale of the kalendar prince,./audio_data/classical_mp3/scheherazade the tale of the kalendar prince.mp3,Nikolai Rimsky-Korsakov,avant-gardeclassicallate romantic erarussian romanticism,classical
"elgar: cello concerto in e minor, op. 85: i. adagio - moderato","./audio_data/classical_mp3/elgar cello concerto in e minor, op. 85 i. adagio - moderato.mp3",Edward Elgar,british modern classicalclassicallate romantic eravictorian britain,classical
"piano concerto in a minor, op. 16: i. allegro molto moderato","./audio_data/classical_mp3/piano concerto in a minor, op. 16 i. allegro molto moderato.mp3",Edvard Grieg,classicallate romantic eranorwegian classical,classical
"ständchen in d minor (after schubert), s. 560","./audio_data/classical_mp3/ständchen in d minor (after schubert), s. 560.mp3",Franz Liszt,classicallate romantic era,classical
"liebestraum no. 3 in a-flat major, s. 541 / 3","./audio_data/classical_mp3/liebestraum no. 3 in a-flat major, s. 541  3.mp3",Franz Liszt,classicallate romantic era,classical
"andante festivo for strings and timpani, js 34b","./audio_data/classical_mp3/andante festivo for strings and timpani, js 34b.mp3",Jean Sibelius,classicalfinnish classicalimpressionismpost-romantic era,classical
o magnum mysterium: o magnum mysterium,./audio_data/classical_mp3/o magnum mysterium o magnum mysterium.mp3,Morten Lauridsen,american contemporary classicalchoralcontemporary classical,classical
"prokofiev: romeo and juliet, op. 64, act 1, scene 2: dance of the knights","./audio_data/classical_mp3/prokofiev romeo and juliet, op. 64, act 1, scene 2 dance of the knights.mp3",Sergei Prokofiev,classicalearly modern classicalneoclassicismrussian modern classical,classical
"piano concerto in a minor, op. 16: i. allegro molto moderato","./audio_data/classical_mp3/piano concerto in a minor, op. 16 i. allegro molto moderato.mp3",Edvard Grieg,classicallate romantic eranorwegian classical,classical
"barber: adagio for strings, op. 11","./audio_data/classical_mp3/barber adagio for strings, op. 11.mp3",Samuel Barber,american modern classicalclassicalearly modern classical,classical
khachaturian: spartacus suite no. 2: i. adagio of spartacus and phrygia,./audio_data/classical_mp3/khachaturian spartacus suite no. 2 i. adagio of spartacus and phrygia.mp3,Aram Khachaturian,caucasian classicalclassicalearly modern classicalrussian modern classical,classical
prince igor (knyaz igor): act ii: polovtsian dances - ulyetay na kril'yahk vyetra (fly away on the wings of the wind) (version for chorus),./audio_data/classical_mp3/prince igor (knyaz igor) act ii polovtsian dances - ulyetay na kril'yahk vyetra (fly away on the wings of the wind) (version for chorus).mp3,Alexander Borodin,classicallate romantic erarussian romanticism,classical
"symphony no. 40 in g minor, k. 550: i. molto allegro","./audio_data/classical_mp3/symphony no. 40 in g minor, k. 550 i. molto allegro.mp3",Wolfgang Amadeus Mozart,classicalclassical era,classical
"ravel: pavane pour une infante défunte, m. 19","./audio_data/classical_mp3/ravel pavane pour une infante défunte, m. 19.mp3",Maurice Ravel,classicalearly modern classicalimpressionismneoclassicismpost-romantic era,classical
"violin sonata in a major, fwv 8: iv. allegretto poco mosso","./audio_data/classical_mp3/violin sonata in a major, fwv 8 iv. allegretto poco mosso.mp3",César Franck,classicalfrench romanticismlate romantic era,classical
"piano concerto no. 1 in b-flat minor, op. 23: i. allegro non troppo e molto maestoso – allegro con spirito","./audio_data/classical_mp3/piano concerto no. 1 in b-flat minor, op. 23 i. allegro non troppo e molto maestoso – allegro con spirito.mp3",Pyotr Ilyich Tchaikovsky,classicallate romantic erarussian romanticism,classical
spiegel im spiegel - version for violin and piano,./audio_data/classical_mp3/spiegel im spiegel - version for violin and piano.mp3,Arvo Pärt,baltic classicalclassicalcontemporary classicalminimalism,classical
the sorcerer's apprentice,./audio_data/classical_mp3/the sorcerer's apprentice.mp3,Paul Dukas,classicalearly modern classicalfrench romanticismimpressionismpost-romantic era,classical
"sechs klavierstücke, op. 118: ii. intermezzo in a major","./audio_data/classical_mp3/sechs klavierstücke, op. 118 ii. intermezzo in a major.mp3",Johannes Brahms,classicalgerman romanticismlate romantic era,classical
"chopin: nocturne no. 20 in c-sharp minor, op. posth.","./audio_data/classical_mp3/chopin nocturne no. 20 in c-sharp minor, op. posth..mp3",Frédéric Chopin,classicalearly romantic erapolish classical,classical
"turandot: ""nessun dorma!""",./audio_data/classical_mp3/turandot nessun dorma!.mp3,Giacomo Puccini,classicalitalian operaitalian romanticismpost-romantic era,classical
"peer gynt, op. 23: act ii, 7, in the hall of the mountain king","./audio_data/classical_mp3/peer gynt, op. 23 act ii, 7, in the hall of the mountain king.mp3",Edvard Grieg,classicallate romantic eranorwegian classical,classical
"paganini: 24 caprices, op. 1: no. 24 in a minor","./audio_data/classical_mp3/paganini 24 caprices, op. 1 no. 24 in a minor.mp3",Niccolò Paganini,classicalearly romantic eraitalian romanticism,classical
"dolly, op. 56: 1. berceuse","./audio_data/classical_mp3/dolly, op. 56 1. berceuse.mp3",Gabriel Fauré,classicalpost-romantic era,classical
the rite of spring: part one: adoration of the earth: introduction,./audio_data/classical_mp3/the rite of spring part one adoration of the earth introduction.mp3,Igor Stravinsky,classicalearly modern classicalneoclassicismrussian modern classical,classical
"rêverie, l. 68: rêverie","./audio_data/classical_mp3/rêverie, l. 68 rêverie.mp3",Claude Debussy,classicalimpressionismpost-romantic era,classical
violin concerto no. 10 in g major: largo,./audio_data/classical_mp3/violin concerto no. 10 in g major largo.mp3,Joseph Boulogne Chevalier de Saint-Georges,classical era,classical
"the gadfly suite, op. 97a: viii. romance","./audio_data/classical_mp3/the gadfly suite, op. 97a viii. romance.mp3",Dmitri Shostakovich,classicalcompositional ambientrussian modern classical,classical
"the four seasons - violin concerto in f minor, op. 8 no. 4, rv 297 ""winter"": i. allegro non molto","./audio_data/classical_mp3/the four seasons - violin concerto in f minor, op. 8 no. 4, rv 297 winter i. allegro non molto.mp3",Antonio Vivaldi,baroqueclassicalearly musicitalian baroque,classical
young person's guide to the orchestra,./audio_data/classical_mp3/young person's guide to the orchestra.mp3,Benjamin Britten,british modern classicalclassicalneoclassicism,classical
"piano concerto in c-sharp minor, fp 146: i. allegretto commodo - live","./audio_data/classical_mp3/piano concerto in c-sharp minor, fp 146 i. allegretto commodo - live.mp3",Francis Poulenc,classicalneoclassicism,classical
"pelléas et mélisande, op. 80: 4. sicilienne","./audio_data/classical_mp3/pelléas et mélisande, op. 80 4. sicilienne.mp3",Gabriel Fauré,classicalpost-romantic era,classical
"serenade for strings in c major, op. 48: ii. walzer: moderato, tempo di valse","./audio_data/classical_mp3/serenade for strings in c major, op. 48 ii. walzer moderato, tempo di valse.mp3",Pyotr Ilyich Tchaikovsky,classicallate romantic erarussian romanticism,classical
"symphony no. 5 in c minor, op. 67: i. allegro con brio","./audio_data/classical_mp3/symphony no. 5 in c minor, op. 67 i. allegro con brio.mp3",Ludwig van Beethoven,classicalclassical eraearly romantic eragerman romanticism,classical
"piano concerto no. 5 in e-flat major, op. 73 ""emperor"": ii. adagio un poco mosso - live at konzerthaus berlin / 2018","./audio_data/classical_mp3/piano concerto no. 5 in e-flat major, op. 73 emperor ii. adagio un poco mosso - live at konzerthaus berlin  2018.mp3",Ludwig van Beethoven,classicalclassical eraearly romantic eragerman romanticism,classical
"st. matthew passion, bwv 244 / part two: ""erbarme dich""","./audio_data/classical_mp3/st. matthew passion, bwv 244  part two erbarme dich.mp3",Johann Sebastian Bach,baroqueclassicalearly musicgerman baroque,classical
"goldberg variations, bwv 988: aria da capo - 1981 version","./audio_data/classical_mp3/goldberg variations, bwv 988 aria da capo - 1981 version.mp3",Johann Sebastian Bach,baroqueclassicalearly musicgerman baroque,classical
piazzolla: libertango,./audio_data/classical_mp3/piazzolla libertango.mp3,Alison Balsom,classical performanceclassical trumpet,classical
symphony no. 3 in c minor: ii. andante ma non troppo,./audio_data/classical_mp3/symphony no. 3 in c minor ii. andante ma non troppo.mp3,Florence Beatrice Price,african-american classicalamerican modern classicalamerican romanticism,classical
"mephisto waltz no. 1, s. 514","./audio_data/classical_mp3/mephisto waltz no. 1, s. 514.mp3",Franz Liszt,classicallate romantic era,classical
"symphony no. 9 in e minor, op. 95 ""from the new world"": ii. largo - live","./audio_data/classical_mp3/symphony no. 9 in e minor, op. 95 from the new world ii. largo - live.mp3",Antonín Dvořák,classicalczech classicallate romantic era,classical
"tsar saltan, op. 57: flight of the bumblebee","./audio_data/classical_mp3/tsar saltan, op. 57 flight of the bumblebee.mp3",André Previn,orchestral performance,classical
"string sextet in d minor, op. 70, ""souvenir de florence"": i. allegro con spirito","./audio_data/classical_mp3/string sextet in d minor, op. 70, souvenir de florence i. allegro con spirito.mp3",Pyotr Ilyich Tchaikovsky,classicallate romantic erarussian romanticism,classical
hummel: trumpet concerto in e flat - iii rondo,./audio_data/classical_mp3/hummel trumpet concerto in e flat - iii rondo.mp3,Johann Nepomuk Hummel,classical eraearly romantic era,classical
"serenade for strings in e major, op. 22, b. 52: ii. tempo di valse","./audio_data/classical_mp3/serenade for strings in e major, op. 22, b. 52 ii. tempo di valse.mp3",Antonín Dvořák,classicalczech classicallate romantic era,classical
"delius: 2 pieces for small orchestra: no. 1, on hearing the first cuckoo in spring","./audio_data/classical_mp3/delius 2 pieces for small orchestra no. 1, on hearing the first cuckoo in spring.mp3",Frederick Delius,classicalearly modern classicalimpressionismpost-romantic era,classical
"symphony no. 6 in f major, op. 68 ""pastoral"": i. awakening of cheerful feelings upon arrival in the country: allegro ma non troppo","./audio_data/classical_mp3/symphony no. 6 in f major, op. 68 pastoral i. awakening of cheerful feelings upon arrival in the country allegro ma non troppo.mp3",Ludwig van Beethoven,classicalclassical eraearly romantic eragerman romanticism,classical
"nocturne no. 2 in e-flat major, op. 9 no. 2","./audio_data/classical_mp3/nocturne no. 2 in e-flat major, op. 9 no. 2.mp3",Frédéric Chopin,classicalearly romantic erapolish classical,classical
"respighi: pini di roma, p. 141: iii. i pini del gianicolo","./audio_data/classical_mp3/respighi pini di roma, p. 141 iii. i pini del gianicolo.mp3",Ottorino Respighi,classicalimpressionismitalian romanticismneoclassicismpost-romantic era,classical
orfeo ed euridice: dance of the blessed spirits (act ii),./audio_data/classical_mp3/orfeo ed euridice dance of the blessed spirits (act ii).mp3,Christoph Willibald Gluck,classicalclassical eraearly musicgalante era,classical
appalachian spring: vii. doppio movimento,./audio_data/classical_mp3/appalachian spring vii. doppio movimento.mp3,Aaron Copland,american modern classicalclassicalearly modern classical,classical
"carmen, act i: no.5 habanera : l'amour est un oiseau rebelle (carmen/cigarières/jeunes gens/dragons)","./audio_data/classical_mp3/carmen, act i no.5 habanera  l'amour est un oiseau rebelle (carmencigarièresjeunes gensdragons).mp3",Georges Bizet,classicalfrench operafrench romanticismlate romantic era,classical
"tchaikovsky: 1812 overture in e-flat major, op. 49","./audio_data/classical_mp3/tchaikovsky 1812 overture in e-flat major, op. 49.mp3",Pyotr Ilyich Tchaikovsky,classicallate romantic erarussian romanticism,classical
parce mihi domine,./audio_data/classical_mp3/parce mihi domine.mp3,Jan Garbarek,classical saxophonecontemporary jazzecm-style jazzjazz fusionjazz saxophonenorwegian jazz,classical
"organ sonata no. 4, bwv 528: ii. andante [adagio] (transcr. by august stradal)","./audio_data/classical_mp3/organ sonata no. 4, bwv 528 ii. andante [adagio] (transcr. by august stradal).mp3",Johann Sebastian Bach,baroqueclassicalearly musicgerman baroque,classical
"consolations, s. 172: no. 3, lento placido","./audio_data/classical_mp3/consolations, s. 172 no. 3, lento placido.mp3",Franz Liszt,classicallate romantic era,classical
"bach, js: goldberg variations, bwv 988: aria","./audio_data/classical_mp3/bach, js goldberg variations, bwv 988 aria.mp3",Johann Sebastian Bach,baroqueclassicalearly musicgerman baroque,classical
"lyric pieces, book 1, op. 12: i. arietta","./audio_data/classical_mp3/lyric pieces, book 1, op. 12 i. arietta.mp3",Edvard Grieg,classicallate romantic eranorwegian classical,classical
3 gymnopédies: no.1 lent et douloureux,./audio_data/classical_mp3/3 gymnopédies no.1 lent et douloureux.mp3,Erik Satie,classicalearly avant gardeearly modern classicalimpressionismpost-romantic era,classical
"sonata no. 14 ""moonlight"" in c-sharp minor"", op. 27 no. 2: i. adagio sostenuto","./audio_data/classical_mp3/sonata no. 14 moonlight in c-sharp minor, op. 27 no. 2 i. adagio sostenuto.mp3",Ludwig van Beethoven,classicalclassical eraearly romantic eragerman romanticism,classical
frühlingsglaube (arr. franz liszt),./audio_data/classical_mp3/frühlingsglaube (arr. franz liszt).mp3,Franz Schubert,classicalclassical eraearly romantic era,classical
"suite bergamasque, l. 75: iii. clair de lune","./audio_data/classical_mp3/suite bergamasque, l. 75 iii. clair de lune.mp3",Claude Debussy,classicalimpressionismpost-romantic era,classical
"orfeo ed euridice, wq. 30 (arranged by sgambati): melodie dell'orfeo","./audio_data/classical_mp3/orfeo ed euridice, wq. 30 (arranged by sgambati) melodie dell'orfeo.mp3",Christoph Willibald Gluck,classicalclassical eraearly musicgalante era,classical
"pavane, op. 50 (version for piano)","./audio_data/classical_mp3/pavane, op. 50 (version for piano).mp3",Gabriel Fauré,classicalpost-romantic era,classical
"sechs klavierstücke, op. 118: ii. intermezzo in a major","./audio_data/classical_mp3/sechs klavierstücke, op. 118 ii. intermezzo in a major.mp3",Johannes Brahms,classicalgerman romanticismlate romantic era,classical
"24 preludes & fugues, op. 87: prelude no.13 in f sharp minor. moderato con moto","./audio_data/classical_mp3/24 preludes & fugues, op. 87 prelude no.13 in f sharp minor. moderato con moto.mp3",Dmitri Shostakovich,classicalcompositional ambientrussian modern classical,classical
"siciliano (after ""erbarme dich"" from matthäus-passion, bwv 244, no. 39)","./audio_data/classical_mp3/siciliano (after erbarme dich from matthäus-passion, bwv 244, no. 39).mp3",Johann Sebastian Bach,baroqueclassicalearly musicgerman baroque,classical
"12 songs, op. 21: v. lilacs (transcr. rachmaninoff for solo piano)","./audio_data/classical_mp3/12 songs, op. 21 v. lilacs (transcr. rachmaninoff for solo piano).mp3",Sergei Rachmaninoff,classicalpost-romantic erarussian romanticismukrainian classical,classical
"bach, js / arr. kempff: flute sonata no. 2 in e-flat major, bwv 1031: ii. siciliano","./audio_data/classical_mp3/bach, js  arr. kempff flute sonata no. 2 in e-flat major, bwv 1031 ii. siciliano.mp3",Johann Sebastian Bach,baroqueclassicalearly musicgerman baroque,classical
"après un rêve, op. 7, no. 1 (arr. piano)","./audio_data/classical_mp3/après un rêve, op. 7, no. 1 (arr. piano).mp3",Gabriel Fauré,classicalpost-romantic era,classical
"6 impromptus, op. 5: impromptu vi","./audio_data/classical_mp3/6 impromptus, op. 5 impromptu vi.mp3",Jean Sibelius,classicalfinnish classicalimpressionismpost-romantic era,classical
