song,path_to_wav,artist,artist_genre,genre
"siciliana (from ""the tree of life"", arr. for piano from antiche danze, suite no. 3 by ottorino respighi)","./audio_data/classical_mp3/siciliana (from the tree of life, arr. for piano from antiche danze, suite no. 3 by ottorino respighi).mp3",Ottorino Respighi,classicalimpressionismitalian romanticismneoclassicismpost-romantic era,classical
"montero: adagio (after bach's violin concerto no. 2, bwv 1042)","./audio_data/classical_mp3/montero adagio (after bach's violin concerto no. 2, bwv 1042).mp3",Johann Sebastian Bach,baroqueclassicalearly musicgerman baroque,classical
gnossienne no. 1,./audio_data/classical_mp3/gnossienne no. 1.mp3,Erik Satie,classicalearly avant gardeearly modern classicalimpressionismpost-romantic era,classical
"minuet in a major, d. 334","./audio_data/classical_mp3/minuet in a major, d. 334.mp3",Franz Schubert,classicalclassical eraearly romantic era,classical
"6 chorale preludes, bv b 50: herzlich tut mich verlangen, op. 122/10","./audio_data/classical_mp3/6 chorale preludes, bv b 50 herzlich tut mich verlangen, op. 12210.mp3",Johannes Brahms,classicalgerman romanticismlate romantic era,classical
"ständchen, s. 560 (trans. from schwanengesang no. 4, d. 957)","./audio_data/classical_mp3/ständchen, s. 560 (trans. from schwanengesang no. 4, d. 957).mp3",Franz Schubert,classicalclassical eraearly romantic era,classical
2 pieces for piano 6 hands: no. 2. romance,./audio_data/classical_mp3/2 pieces for piano 6 hands no. 2. romance.mp3,Sergei Rachmaninoff,classicalpost-romantic erarussian romanticismukrainian classical,classical
"lieder ohne worte (songs without words), book 2, op. 30: no. 7 in e-flat major, op. 30, no. 1","./audio_data/classical_mp3/lieder ohne worte (songs without words), book 2, op. 30 no. 7 in e-flat major, op. 30, no. 1.mp3",Felix Mendelssohn,classicalearly romantic eragerman romanticism,classical
sonata no. 42 in d minor (arr. ólafsson),./audio_data/classical_mp3/sonata no. 42 in d minor (arr. ólafsson).mp3,Domenico Cimarosa,classical era,classical
"kinderszenen, op. 15: 7. träumerei","./audio_data/classical_mp3/kinderszenen, op. 15 7. träumerei.mp3",Robert Schumann,classicalearly romantic eragerman romanticism,classical
"bagatelle, op. 1: no. 1, allegretto","./audio_data/classical_mp3/bagatelle, op. 1 no. 1, allegretto.mp3",Valentin Silvestrov,ukrainian classicalukrainian classical piano,classical
"3 romances, op. 11: 1. andante","./audio_data/classical_mp3/3 romances, op. 11 1. andante.mp3",Clara Schumann,early romantic eragerman romanticism,classical
"""was mir behagt, ist nur die muntre jagd"" cantata, bwv 208: 9. schafe können sicher weiden (arr. for piano four hands by mary howe)","./audio_data/classical_mp3/was mir behagt, ist nur die muntre jagd cantata, bwv 208 9. schafe können sicher weiden (arr. for piano four hands by mary howe).mp3",Johann Sebastian Bach,baroqueclassicalearly musicgerman baroque,classical
"carnaval, op. 9: no. 5. eusebius (adagio - più lento molto teneramente)","./audio_data/classical_mp3/carnaval, op. 9 no. 5. eusebius (adagio - più lento molto teneramente).mp3",Robert Schumann,classicalearly romantic eragerman romanticism,classical
three visions: ii. summerland,./audio_data/classical_mp3/three visions ii. summerland.mp3,William Grant Still,african-american classicalamerican modern classicalearly modern classicalharlem renaissance,classical
"the seasons, op. 37b: vi. june, ""barcarolle""","./audio_data/classical_mp3/the seasons, op. 37b vi. june, barcarolle.mp3",Pyotr Ilyich Tchaikovsky,classicallate romantic erarussian romanticism,classical
"carnaval, op. 9: 5. eusebius","./audio_data/classical_mp3/carnaval, op. 9 5. eusebius.mp3",Robert Schumann,classicalearly romantic eragerman romanticism,classical
"fantasia no. 3 in d minor, k. 397","./audio_data/classical_mp3/fantasia no. 3 in d minor, k. 397.mp3",Wolfgang Amadeus Mozart,classicalclassical era,classical
"nocturnes, op. 27: no. 2 in d flat major. lento sostenuto","./audio_data/classical_mp3/nocturnes, op. 27 no. 2 in d flat major. lento sostenuto.mp3",Frédéric Chopin,classicalearly romantic erapolish classical,classical
"premier nocturne, op. 22","./audio_data/classical_mp3/premier nocturne, op. 22.mp3",Charles-Valentin Alkan,french romanticismlate romantic era,classical
"die rose, romanze aus der oper zemir und azor, s571/r259 (spohr)","./audio_data/classical_mp3/die rose, romanze aus der oper zemir und azor, s571r259 (spohr).mp3",Franz Liszt,classicallate romantic era,classical
"piano sonata no. 20 in a major, d. 959: ii. andantino","./audio_data/classical_mp3/piano sonata no. 20 in a major, d. 959 ii. andantino.mp3",Franz Schubert,classicalclassical eraearly romantic era,classical
"beethoven: piano sonata no. 8 in c minor, op. 13, ""pathétique"": ii. adagio cantabile","./audio_data/classical_mp3/beethoven piano sonata no. 8 in c minor, op. 13, pathétique ii. adagio cantabile.mp3",Ludwig van Beethoven,classicalclassical eraearly romantic eragerman romanticism,classical
7 canciones populares españolas: vi. canción,./audio_data/classical_mp3/7 canciones populares españolas vi. canción.mp3,Manuel de Falla,classicalearly modern classicalimpressionismneoclassicismpost-romantic era,classical
"3 preludes and fugues, op. 16: no. 2. prelude and fugue in b-flat major","./audio_data/classical_mp3/3 preludes and fugues, op. 16 no. 2. prelude and fugue in b-flat major.mp3",Clara Schumann,early romantic eragerman romanticism,classical
"nocturne no. 19 in e minor, op. 72, no. 1","./audio_data/classical_mp3/nocturne no. 19 in e minor, op. 72, no. 1.mp3",Frédéric Chopin,classicalearly romantic erapolish classical,classical
nocturne no. 2 in c minor,./audio_data/classical_mp3/nocturne no. 2 in c minor.mp3,John Field,early romantic erairish classical,classical
"pavane pour une infante défunte, m. 19","./audio_data/classical_mp3/pavane pour une infante défunte, m. 19.mp3",Maurice Ravel,classicalearly modern classicalimpressionismneoclassicismpost-romantic era,classical
"rêverie, l. 68","./audio_data/classical_mp3/rêverie, l. 68.mp3",Claude Debussy,classicalimpressionismpost-romantic era,classical
"nocturne no. 1 in e flat major, h.24","./audio_data/classical_mp3/nocturne no. 1 in e flat major, h.24.mp3",John Field,early romantic erairish classical,classical
natural light,./audio_data/classical_mp3/natural light.mp3,Ludovico Einaudi,bow popcompositional ambientneo-classical,classical
late,./audio_data/classical_mp3/late.mp3,Nils Frahm,compositional ambientelectronicaneo-classicalneoclassical darkwave,classical
anona,./audio_data/classical_mp3/anona.mp3,Otto A. Totland,compositional ambientfocusneo-classical,classical
le jardin de monsieur monet,./audio_data/classical_mp3/le jardin de monsieur monet.mp3,Stephan Moccio,background pianoneo-classical,classical
bells,./audio_data/classical_mp3/bells.mp3,Roger Eno,ambientart popart rockcompositional ambientfourth world,classical
nocturnal,./audio_data/classical_mp3/nocturnal.mp3,Joep Beving,compositional ambientneo-classical,classical
prelude in g major,./audio_data/classical_mp3/prelude in g major.mp3,Víkingur Ólafsson,classical pianonordic classical piano,classical
calm after the storm,./audio_data/classical_mp3/calm after the storm.mp3,Jacco Wynia,neo-classical,classical
gdansk,./audio_data/classical_mp3/gdansk.mp3,Lambert,compositional ambientneo-classical,classical
your sonnet,./audio_data/classical_mp3/your sonnet.mp3,haruka nakamura,j-ambientjapanese jazz fusion,classical
billow gently,./audio_data/classical_mp3/billow gently.mp3,Sophie Hutchings,compositional ambientneo-classical,classical
quietly quietly,./audio_data/classical_mp3/quietly quietly.mp3,Peter Cavallo,neo-classical,classical
finding the heavens,./audio_data/classical_mp3/finding the heavens.mp3,Polly Carter,,classical
we met in the garden,./audio_data/classical_mp3/we met in the garden.mp3,Treman,neo-classical,classical
soffia la notte,./audio_data/classical_mp3/soffia la notte.mp3,Fabrizio Paterlini,compositional ambient,classical
together at last,./audio_data/classical_mp3/together at last.mp3,Alexis Ffrench,compositional ambientneo-classical,classical
tuesday,./audio_data/classical_mp3/tuesday.mp3,Annelie,neo-classical,classical
new moon,./audio_data/classical_mp3/new moon.mp3,Pêtr Aleksänder,,classical
pt. 1 owl light,./audio_data/classical_mp3/pt. 1 owl light.mp3,Stephan Moccio,background pianoneo-classical,classical
silent dusk,./audio_data/classical_mp3/silent dusk.mp3,Olivia Belli,compositional ambientneo-classical,classical
across borders,./audio_data/classical_mp3/across borders.mp3,Jozef De Schutter,,classical
any,./audio_data/classical_mp3/any.mp3,Hiroco.M,background pianojapanese piano,classical
embers,./audio_data/classical_mp3/embers.mp3,Wilson Trouvé,background pianoneo-classical,classical
mirror,./audio_data/classical_mp3/mirror.mp3,Hideyuki Hashimoto,background pianojapanese piano,classical
some other place,./audio_data/classical_mp3/some other place.mp3,Meredi,,classical
numéro 1,./audio_data/classical_mp3/numéro 1.mp3,Jøsefine,background piano,classical
infinity,./audio_data/classical_mp3/infinity.mp3,Rosey Chan,,classical
sleepwalk,./audio_data/classical_mp3/sleepwalk.mp3,Ben Laver,,classical
an evening scene,./audio_data/classical_mp3/an evening scene.mp3,Comet Blue,background pianodeep tropical house,classical
new dawn,./audio_data/classical_mp3/new dawn.mp3,Edvard Kravchuk,neo-classical,classical
dagdraumur,./audio_data/classical_mp3/dagdraumur.mp3,Eydís Evensen,compositional ambientneo-classical,classical
hour glass,./audio_data/classical_mp3/hour glass.mp3,Felice Manzi,background piano,classical
illumination,./audio_data/classical_mp3/illumination.mp3,Dmitry Evgrafov,compositional ambientfocusneo-classical,classical
fractal,./audio_data/classical_mp3/fractal.mp3,Hideyuki Hashimoto,background pianojapanese piano,classical
rain,./audio_data/classical_mp3/rain.mp3,Chad Lawson,compositional ambientneo-classicalnew age piano,classical
leaves and light,./audio_data/classical_mp3/leaves and light.mp3,Itoko Toma,j-ambientjapanese piano,classical
the new life,./audio_data/classical_mp3/the new life.mp3,Lemos,,classical
"i wanted you to know (on yamaha upright, 1981)","./audio_data/classical_mp3/i wanted you to know (on yamaha upright, 1981).mp3",Carlos Cipa,compositional ambientneo-classical,classical
heart pieces,./audio_data/classical_mp3/heart pieces.mp3,Moux,focus,classical
when the party's over - slowed remix,./audio_data/classical_mp3/when the party's over - slowed remix.mp3,Finneas O'Connell,,classical
across long lakes,./audio_data/classical_mp3/across long lakes.mp3,Sarah Spring,background piano,classical
satisfaction,./audio_data/classical_mp3/satisfaction.mp3,The Masked Pianoman,,classical
beneath the crystal veil,./audio_data/classical_mp3/beneath the crystal veil.mp3,Luke Faulkner,,classical
leo minor,./audio_data/classical_mp3/leo minor.mp3,Evening Tales from the Stars,,classical
equally,./audio_data/classical_mp3/equally.mp3,Rêve,,classical
prélude,./audio_data/classical_mp3/prélude.mp3,Olivia Belli,compositional ambientneo-classical,classical
a bad dream that will pass away,./audio_data/classical_mp3/a bad dream that will pass away.mp3,Luke Howard,australian ambientcompositional ambientneo-classical,classical
starry sky,./audio_data/classical_mp3/starry sky.mp3,April Baxter,background piano,classical
summer flowers,./audio_data/classical_mp3/summer flowers.mp3,Polly Carter,,classical
soleil,./audio_data/classical_mp3/soleil.mp3,Masaki Kawasaki,japanese piano,classical
the shards,./audio_data/classical_mp3/the shards.mp3,Hiroko Murakami,japanese piano,classical
night walk,./audio_data/classical_mp3/night walk.mp3,Vontmer,,classical
ephemera,./audio_data/classical_mp3/ephemera.mp3,Luke Gajdus,neo-classical,classical
fluttering,./audio_data/classical_mp3/fluttering.mp3,GÅEL,ambient worshipneo-classical,classical
the void - i play mine version,./audio_data/classical_mp3/the void - i play mine version.mp3,Andrea Carri,classify,classical
orange sky,./audio_data/classical_mp3/orange sky.mp3,Edvard Kravchuk,neo-classical,classical
ave,./audio_data/classical_mp3/ave.mp3,Kristoffer Wallin,neo-classical,classical
"9-feb-2022 ""all for e""",./audio_data/classical_mp3/9-feb-2022 all for e.mp3,Sebastian Morawietz,,classical
nowesind,./audio_data/classical_mp3/nowesind.mp3,Jacob David,background pianoneo-classical,classical
first steps,./audio_data/classical_mp3/first steps.mp3,Niklas Blumenthaler,,classical
145 - revisited,./audio_data/classical_mp3/145 - revisited.mp3,Patrik Berg Almkvisth,,classical
floating,./audio_data/classical_mp3/floating.mp3,Gianluca Piacenza,,classical
open window,./audio_data/classical_mp3/open window.mp3,Matti Bye,background pianonordic soundtrack,classical
entropy,./audio_data/classical_mp3/entropy.mp3,Kyūka,,classical
look into your eyes,./audio_data/classical_mp3/look into your eyes.mp3,Dravde,,classical
octaves,./audio_data/classical_mp3/octaves.mp3,Ali Toygar,,classical
a cloud passed,./audio_data/classical_mp3/a cloud passed.mp3,Polly Carter,,classical
breathe,./audio_data/classical_mp3/breathe.mp3,Sarah Watson,neo-classical,classical
stay longer,./audio_data/classical_mp3/stay longer.mp3,Hiroko Murakami,japanese piano,classical
norðurljós,./audio_data/classical_mp3/norðurljós.mp3,Guðmundur Helgason,,classical
six + six,./audio_data/classical_mp3/six + six.mp3,Melaine Dalibert,contemporary classical piano,classical
nocturnes op.4,./audio_data/classical_mp3/nocturnes op.4.mp3,Taichi Chishaki,background piano,classical
quintessence,./audio_data/classical_mp3/quintessence.mp3,Jordane Tumarinson,,classical
night solace,./audio_data/classical_mp3/night solace.mp3,Josh Kramer,neo-classical,classical
asunder,./audio_data/classical_mp3/asunder.mp3,Glenn Natale,,classical
acceptance,./audio_data/classical_mp3/acceptance.mp3,Ben Crosland,background pianoneo-classical,classical
wings,./audio_data/classical_mp3/wings.mp3,Nel Swerts,,classical
sway,./audio_data/classical_mp3/sway.mp3,Hideyuki Hashimoto,background pianojapanese piano,classical
balancing act,./audio_data/classical_mp3/balancing act.mp3,Daniel Schrage,,classical
little while,./audio_data/classical_mp3/little while.mp3,Tim Linghaus,neo-classical,classical
"goldberg variations, bwv 988: aria","./audio_data/classical_mp3/goldberg variations, bwv 988 aria.mp3",Johann Sebastian Bach,baroqueclassicalearly musicgerman baroque,classical
"the four seasons - violin concerto in f minor, op. 8 no. 4, rv 297 ""winter"": i. allegro non molto","./audio_data/classical_mp3/the four seasons - violin concerto in f minor, op. 8 no. 4, rv 297 winter i. allegro non molto.mp3",Antonio Vivaldi,baroqueclassicalearly musicitalian baroque,classical
the arts and the hours,./audio_data/classical_mp3/the arts and the hours.mp3,Jean-Philippe Rameau,baroqueclassicalearly musicfrench baroquefrench opera,classical
"concerto grosso in g minor, op. 6, no. 8, ""fatto per la notte di natale"": iii. adagio - allegro - adagio","./audio_data/classical_mp3/concerto grosso in g minor, op. 6, no. 8, fatto per la notte di natale iii. adagio - allegro - adagio.mp3",Arcangelo Corelli,baroqueclassicalclassical performanceearly musicitalian baroque,classical
"rinaldo, hwv 7: lascia ch'io pianga (arr. for piano)","./audio_data/classical_mp3/rinaldo, hwv 7 lascia ch'io pianga (arr. for piano).mp3",George Frideric Handel,baroqueclassicalearly musicenglish baroquegerman baroque,classical
"unaccompanied cello suite no. 1 in g major, bwv 1007: i. prélude","./audio_data/classical_mp3/unaccompanied cello suite no. 1 in g major, bwv 1007 i. prélude.mp3",Johann Sebastian Bach,baroqueclassicalearly musicgerman baroque,classical
les baricades mystérieuses - arranged by göran söllscher,./audio_data/classical_mp3/les baricades mystérieuses - arranged by göran söllscher.mp3,François Couperin,baroqueclassicalearly musicfrench baroque,classical
"solomon, hwv 67: the arrival of the queen of sheba","./audio_data/classical_mp3/solomon, hwv 67 the arrival of the queen of sheba.mp3",Georg Friedrich Händek,,classical
canarios,./audio_data/classical_mp3/canarios.mp3,Gaspar Sanz,baroquemusica antiguaspanish baroque,classical
"dido and aeneas, z. 626 / act iii: ""when i am laid in earth"" dido's lamento (arr. by mathieu herzog for cello and strings)","./audio_data/classical_mp3/dido and aeneas, z. 626  act iii when i am laid in earth dido's lamento (arr. by mathieu herzog for cello and strings).mp3",Henry Purcell,baroqueclassicalearly musicenglish baroque,classical
"bocherini / arr. grützmacher: cello concerto no. 9 in b-flat major, g. 482: ii. adagio non troppo","./audio_data/classical_mp3/bocherini  arr. grützmacher cello concerto no. 9 in b-flat major, g. 482 ii. adagio non troppo.mp3",Luigi Boccherini,classicalclassical eraearly music,classical
"recorder concerto in c major, twv 51:c1: iv. tempo di minuet","./audio_data/classical_mp3/recorder concerto in c major, twv 51c1 iv. tempo di minuet.mp3",Georg Philipp Telemann,baroqueclassicalearly musicgerman baroque,classical
marche pour la cérémonie des turcs (jean-baptiste lully),./audio_data/classical_mp3/marche pour la cérémonie des turcs (jean-baptiste lully).mp3,Jean-Baptiste Lully,baroqueclassicalearly musicfrench baroquefrench opera,classical
"boccherini: string quintet in e major, op. 13 no. 6, g. 282: iii. minuetto - trio","./audio_data/classical_mp3/boccherini string quintet in e major, op. 13 no. 6, g. 282 iii. minuetto - trio.mp3",Luigi Boccherini,classicalclassical eraearly music,classical
"flute concerto in d minor, qv 5:81: ii. arioso","./audio_data/classical_mp3/flute concerto in d minor, qv 581 ii. arioso.mp3",Johann Joachim Quantz,baroquegerman baroque,classical
noel symphony no. 4 in d minor: i. une jeune pucelle: moderato,./audio_data/classical_mp3/noel symphony no. 4 in d minor i. une jeune pucelle moderato.mp3,Michel Corrette,baroquegalante era,classical
"concerto for violoncello piccolo in g major, rv. 414: ii. largo","./audio_data/classical_mp3/concerto for violoncello piccolo in g major, rv. 414 ii. largo.mp3",Antonio Vivaldi,baroqueclassicalearly musicitalian baroque,classical
"lully : ballet des muses : ""trop indiscret amour"" [euridice]",./audio_data/classical_mp3/lully  ballet des muses  trop indiscret amour [euridice].mp3,Jean-Baptiste Lully,baroqueclassicalearly musicfrench baroquefrench opera,classical
adagio in g minor (arr. for harp and orchestra),./audio_data/classical_mp3/adagio in g minor (arr. for harp and orchestra).mp3,Tomaso Albinoni,baroqueclassicalearly musicharpsichorditalian baroqueitalian opera,classical
première suite: prélude,./audio_data/classical_mp3/première suite prélude.mp3,Jordi Savall,classicalclassical performanceearly musicearly music ensemblemusica antiguaorchestral performanceviola da gamba,classical
"musiche sacre concernenti messa, e salmi concertati con istromenti, imni, antifone et sonate: canzon a 3","./audio_data/classical_mp3/musiche sacre concernenti messa, e salmi concertati con istromenti, imni, antifone et sonate canzon a 3.mp3",Francesco Cavalli,baroqueitalian baroqueitalian opera,classical
"violin concerto in e-flat major, rv 257: iii. allegro","./audio_data/classical_mp3/violin concerto in e-flat major, rv 257 iii. allegro.mp3",Antonio Vivaldi,baroqueclassicalearly musicitalian baroque,classical
"keyboard sonata in e-flat major, f. 5: ii. largo","./audio_data/classical_mp3/keyboard sonata in e-flat major, f. 5 ii. largo.mp3",Wilhelm Friedemann Bach,galante eragerman baroque,classical
trio sonata no. 4 in c major: i. adagio,./audio_data/classical_mp3/trio sonata no. 4 in c major i. adagio.mp3,Johann Gottlieb Goldberg,galante era,classical
lo frate 'nnamorato: sinfonia in d major: ii. andante,./audio_data/classical_mp3/lo frate 'nnamorato sinfonia in d major ii. andante.mp3,Giovanni Battista Pergolesi,baroqueclassicalearly musicgalante eraitalian baroque,classical
"violin partita no. 3 in e major, bwv 1006: i. preludio","./audio_data/classical_mp3/violin partita no. 3 in e major, bwv 1006 i. preludio.mp3",Johann Sebastian Bach,baroqueclassicalearly musicgerman baroque,classical
"sonata in e major, k. 380","./audio_data/classical_mp3/sonata in e major, k. 380.mp3",Domenico Scarlatti,baroqueclassicalearly musicitalian baroque,classical
"water music, suite no. 2, hwv 349: water music, suite no. 2, hwv 349: xii. [alla hornpipe]","./audio_data/classical_mp3/water music, suite no. 2, hwv 349 water music, suite no. 2, hwv 349 xii. [alla hornpipe].mp3",George Frideric Handel,baroqueclassicalearly musicenglish baroquegerman baroque,classical
"pièces de viole, livre 2 - suite no. 3 in d major: no. 63. les voix humaines (lentement)","./audio_data/classical_mp3/pièces de viole, livre 2 - suite no. 3 in d major no. 63. les voix humaines (lentement).mp3",Marin Marais,baroqueclassicalearly musicfrench baroque,classical
largo from xerxes,./audio_data/classical_mp3/largo from xerxes.mp3,George Frideric Handel,baroqueclassicalearly musicenglish baroquegerman baroque,classical
suite in g major: prélude - lentement,./audio_data/classical_mp3/suite in g major prélude - lentement.mp3,Marin Marais,baroqueclassicalearly musicfrench baroque,classical
air on a g string,./audio_data/classical_mp3/air on a g string.mp3,Johann Sebastian Bach,baroqueclassicalearly musicgerman baroque,classical
"lyric pieces, book 1, op. 12: i. arietta","./audio_data/classical_mp3/lyric pieces, book 1, op. 12 i. arietta.mp3",Edvard Grieg,classicallate romantic eranorwegian classical,classical
"4 impromptus, op. 90, d. 899: no. 3 in g-flat major","./audio_data/classical_mp3/4 impromptus, op. 90, d. 899 no. 3 in g-flat major.mp3",Franz Schubert,classicalclassical eraearly romantic era,classical
prelude in g major,./audio_data/classical_mp3/prelude in g major.mp3,Víkingur Ólafsson,classical pianonordic classical piano,classical
"le carnaval des animaux, r. 125: 13. the swan (arr. hodge for cello, harp & ensemble)","./audio_data/classical_mp3/le carnaval des animaux, r. 125 13. the swan (arr. hodge for cello, harp & ensemble).mp3",Camille Saint-Saëns,classicalfrench romanticismlate romantic era,classical
"sechs klavierstücke, op. 118: ii. intermezzo in a major","./audio_data/classical_mp3/sechs klavierstücke, op. 118 ii. intermezzo in a major.mp3",Johannes Brahms,classicalgerman romanticismlate romantic era,classical
"dolly, op. 56: 1. berceuse","./audio_data/classical_mp3/dolly, op. 56 1. berceuse.mp3",Gabriel Fauré,classicalpost-romantic era,classical
"6 pieces for piano, p. 44: no. 3. notturno. lento (version for harp)","./audio_data/classical_mp3/6 pieces for piano, p. 44 no. 3. notturno. lento (version for harp).mp3",Ottorino Respighi,classicalimpressionismitalian romanticismneoclassicismpost-romantic era,classical
"nocturne no. 2 in e-flat major, op. 9 no. 2","./audio_data/classical_mp3/nocturne no. 2 in e-flat major, op. 9 no. 2.mp3",Frédéric Chopin,classicalearly romantic erapolish classical,classical
thaïs: méditation,./audio_data/classical_mp3/thaïs méditation.mp3,Jules Massenet,classicalearly musicfrench operafrench romanticismpost-romantic era,classical
"nocturnes, op. 32: no. 1 in b major. andante sostenuto","./audio_data/classical_mp3/nocturnes, op. 32 no. 1 in b major. andante sostenuto.mp3",Frédéric Chopin,classicalearly romantic erapolish classical,classical
"pavane, op. 50 (version for piano)","./audio_data/classical_mp3/pavane, op. 50 (version for piano).mp3",Gabriel Fauré,classicalpost-romantic era,classical
minamata piano theme,./audio_data/classical_mp3/minamata piano theme.mp3,Ryuichi Sakamoto,anime scorecompositional ambientjapanese classicaljapanese contemporary classicaljapanese soundtrack,classical
"adagio in e flat (arr. ólafsson from string quintet no. 3 in g minor, k. 516)","./audio_data/classical_mp3/adagio in e flat (arr. ólafsson from string quintet no. 3 in g minor, k. 516).mp3",Wolfgang Amadeus Mozart,classicalclassical era,classical
main title (the notebook),./audio_data/classical_mp3/main title (the notebook).mp3,Aaron Zigman,classic soundtracksoundtrack,classical
"la fille aux cheveux de lin, l. 117","./audio_data/classical_mp3/la fille aux cheveux de lin, l. 117.mp3",Claude Debussy,classicalimpressionismpost-romantic era,classical
satie / orch. ducros: gymnopédie no. 1,./audio_data/classical_mp3/satie  orch. ducros gymnopédie no. 1.mp3,Erik Satie,classicalearly avant gardeearly modern classicalimpressionismpost-romantic era,classical
"sheep may safely graze, bwv 208 (arr. egon petri)","./audio_data/classical_mp3/sheep may safely graze, bwv 208 (arr. egon petri).mp3",Johann Sebastian Bach,baroqueclassicalearly musicgerman baroque,classical
"chopin: 24 preludes, op. 28: no.15 in d-flat major, ""raindrop""","./audio_data/classical_mp3/chopin 24 preludes, op. 28 no.15 in d-flat major, raindrop.mp3",Frédéric Chopin,classicalearly romantic erapolish classical,classical
"sure on this shining night, op. 13 no. 3 (arr. parkin for cello and piano)","./audio_data/classical_mp3/sure on this shining night, op. 13 no. 3 (arr. parkin for cello and piano).mp3",Samuel Barber,american modern classicalclassicalearly modern classical,classical
bluebird,./audio_data/classical_mp3/bluebird.mp3,Alexis Ffrench,compositional ambientneo-classical,classical
the flower garden,./audio_data/classical_mp3/the flower garden.mp3,Joe Hisaishi,animeanime scoreghiblijapanese classicaljapanese soundtrackorchestral soundtrack,classical
"piano quartet in g minor, k.478: ii. andante","./audio_data/classical_mp3/piano quartet in g minor, k.478 ii. andante.mp3",Wolfgang Amadeus Mozart,classicalclassical era,classical
prelude in d major,./audio_data/classical_mp3/prelude in d major.mp3,Chad Lawson,compositional ambientneo-classicalnew age piano,classical
"sonata no. 5 in a major, op. 17, no. 5: i. allegro","./audio_data/classical_mp3/sonata no. 5 in a major, op. 17, no. 5 i. allegro.mp3",Johann Christian Bach,classical era,classical
"waldszenen, op. 82: no. 1, eintritt","./audio_data/classical_mp3/waldszenen, op. 82 no. 1, eintritt.mp3",Robert Schumann,classicalearly romantic eragerman romanticism,classical
when the grass was greener / nino rota: valzer,./audio_data/classical_mp3/when the grass was greener  nino rota valzer.mp3,Nino Rota,classic soundtrackitalian soundtrackorchestral soundtracksoundtrackvintage italian soundtrack,classical
"kinderszenen, op. 15: träumerei (arr. lewin for guitar)","./audio_data/classical_mp3/kinderszenen, op. 15 träumerei (arr. lewin for guitar).mp3",Robert Schumann,classicalearly romantic eragerman romanticism,classical
"morning mood variation (arr. for piano from peer gynt suite no.1, op. 36 by ketan & vivan bhatti)","./audio_data/classical_mp3/morning mood variation (arr. for piano from peer gynt suite no.1, op. 36 by ketan & vivan bhatti).mp3",Edvard Grieg,classicallate romantic eranorwegian classical,classical
"piano sonata in c major, woo 51: ii. adagio","./audio_data/classical_mp3/piano sonata in c major, woo 51 ii. adagio.mp3",Ludwig van Beethoven,classicalclassical eraearly romantic eragerman romanticism,classical
bagatelles i-xiii: bagatelle iii,./audio_data/classical_mp3/bagatelles i-xiii bagatelle iii.mp3,Valentin Silvestrov,ukrainian classicalukrainian classical piano,classical
the place where they go (munich session),./audio_data/classical_mp3/the place where they go (munich session).mp3,Carlos Cipa,compositional ambientneo-classical,classical
"brahms: 3 intermezzi, op. 117: no. 1 in e-flat major","./audio_data/classical_mp3/brahms 3 intermezzi, op. 117 no. 1 in e-flat major.mp3",Johannes Brahms,classicalgerman romanticismlate romantic era,classical
"say: art of piano, op. 66: iii. winter morning in istanbul","./audio_data/classical_mp3/say art of piano, op. 66 iii. winter morning in istanbul.mp3",Fazıl Say,classical pianoturkish classical performanceturkish jazz,classical
"minuet in a major, d. 334","./audio_data/classical_mp3/minuet in a major, d. 334.mp3",Franz Schubert,classicalclassical eraearly romantic era,classical
"rinaldo, hwv 7a, act ii, scene 4: lascia ch'io pianga - arr. for french horn","./audio_data/classical_mp3/rinaldo, hwv 7a, act ii, scene 4 lascia ch'io pianga - arr. for french horn.mp3",George Frideric Handel,baroqueclassicalearly musicenglish baroquegerman baroque,classical
my father's favourite,./audio_data/classical_mp3/my father's favourite.mp3,Patrick Doyle,british soundtrackorchestral soundtrackscorecoresoundtrack,classical
"rêverie, l. 68 (arr. by badzura)","./audio_data/classical_mp3/rêverie, l. 68 (arr. by badzura).mp3",Claude Debussy,classicalimpressionismpost-romantic era,classical
"bach, js: goldberg variations, bwv 988: aria","./audio_data/classical_mp3/bach, js goldberg variations, bwv 988 aria.mp3",Johann Sebastian Bach,baroqueclassicalearly musicgerman baroque,classical
